2018-01-01,15
2018-01-02,8
2018-01-03,14
2018-01-04,9
2018-01-05,9
2018-01-06,16
2018-01-07,12
2018-01-08,15
2018-01-09,9
2018-01-10,15
2018-01-11,15
2018-01-12,14
2018-01-13,12
2018-01-14,14
2018-01-15,8
2018-01-16,13
2018-01-17,8
2018-01-18,16
2018-01-19,6
2018-01-20,15
2018-01-21,15
2018-01-22,13
2018-01-23,12
2018-01-24,11
2018-01-25,10
2018-01-26,12
2018-01-27,11
2018-01-28,7
2018-01-29,13
2018-01-30,13
2018-01-31,13
2018-02-01,15
2018-02-02,11
2018-02-03,12
2018-02-04,12
2018-02-05,13
2018-02-06,11
2018-02-07,6
2018-02-08,16
2018-02-09,18
2018-02-10,9
2018-02-11,19
2018-02-12,11
2018-02-13,16
2018-02-14,16
2018-02-15,16
2018-02-16,14
2018-02-17,16
2018-02-18,16
2018-02-19,13
2018-02-20,17
2018-02-21,11
2018-02-22,12
2018-02-23,11
2018-02-24,26
2018-02-25,14
2018-02-26,10
2018-02-27,23
2018-02-28,21
2018-03-01,14
2018-03-02,13
2018-03-03,15
2018-03-04,12
2018-03-05,14
2018-03-06,11
2018-03-07,15
2018-03-08,14
2018-03-09,12
2018-03-10,10
2018-03-11,13
2018-03-12,9
2018-03-13,14
2018-03-14,14
2018-03-15,14
2018-03-16,14
2018-03-17,9
2018-03-18,9
2018-03-19,11
2018-03-20,20
2018-03-21,15
2018-03-22,16
2018-03-23,12
2018-03-24,8
2018-03-25,13
2018-03-26,10
2018-03-27,15
2018-03-28,12
2018-03-29,18
2018-03-30,1
2018-03-31,13
2018-04-01,14
2018-04-02,12
2018-04-03,8
2018-04-04,17
2018-04-05,18
2018-04-06,10
2018-04-07,11
2018-04-08,14
2018-04-09,13
2018-04-10,14
2018-04-11,13
2018-04-12,17
2018-04-13,12
2018-04-14,14
2018-04-15,10
2018-04-16,12
2018-04-17,10
2018-04-18,15
2018-04-19,18
2018-04-20,16
2018-04-21,11
2018-04-22,12
2018-04-23,14
2018-04-24,10
2018-04-25,11
2018-04-26,12
2018-04-27,14
